coeff,seed,alpha_norm,effect,repetition,ppl
-60.0,0,-0.9302326690318973,4.698445207892883,0.16565934065934068,109.56714699733575
-60.0,1,-0.9302326690318973,6.776830778146567,0.041740347774830516,105.82109627822467
-60.0,2,-0.9302326690318973,3.8568570318570314,0.29588902586111776,93.6575675394672
-40.0,0,-0.6201551126879316,3.9583333333333335,0.0,41.74382513572147
-40.0,1,-0.6201551126879316,0.9542328042328042,0.1578054298642534,18.09600535092919
-40.0,2,-0.6201551126879316,0.72,0.10416666666666666,13.658929510326876
-25.0,0,-0.3875969454299572,1.3282979441516027,0.0346153846153846,39.69610564977806
-25.0,1,-0.3875969454299572,0.16694444444444467,0.14022108843537417,34.22367964551573
-25.0,2,-0.3875969454299572,-0.2981289660321016,0.08680963572267919,20.405657290931675
-15.0,0,-0.23255816725797432,1.4242773892773892,0.12212787212787213,12.553206558306515
-15.0,1,-0.23255816725797432,1.1001641291198254,0.18515951042712867,12.903333115091675
-15.0,2,-0.23255816725797432,2.1285552925989673,0.06667830024475258,9.447762567486407
-8.0,0,-0.1240310225375863,3.1069031011559747,0.08991726475279108,5.3351961069882705
-8.0,1,-0.1240310225375863,3.2286402053102807,0.06966984023946049,6.977118385864365
-8.0,2,-0.1240310225375863,2.8435061635518952,0.10193722211043216,5.381523547771442
0.0,0,0.0,4.527106236366525,0.055467238861338586,3.062477159346837
0.0,1,0.0,4.414877660350028,0.04571041141697968,3.0143900155679857
0.0,2,0.0,4.709743107769423,0.05146314710898389,3.1804815948726226
8.0,0,0.1240310225375863,5.031393343578794,0.08503315366114708,4.881482076325848
8.0,1,0.1240310225375863,4.969274877012772,0.09244459244459244,4.920985037862291
8.0,2,0.1240310225375863,5.047286926688336,0.05624691763932271,4.805212405693994
15.0,0,0.23255816725797432,5.304552963698241,0.11672699318827393,10.027969466749495
15.0,1,0.23255816725797432,5.177677813651119,0.21540755499505954,10.077780245818055
15.0,2,0.23255816725797432,5.237916120849189,0.1481840477835217,12.057354349725067
25.0,0,0.3875969454299572,4.804387567433512,0.524166819784585,9.461720418554846
25.0,1,0.3875969454299572,4.26322777674479,0.652113880742913,6.5249253070153035
25.0,2,0.3875969454299572,5.161291973791974,0.4669062532358985,14.542003623783634
40.0,0,0.6201551126879316,0.9166666666666666,0.0,4.813306696141206
40.0,1,0.6201551126879316,0.0,0.0,5.179164613861612
40.0,2,0.6201551126879316,1.5,0.0,3.2041557629544823
60.0,0,0.9302326690318973,0.0,0.0,nan
60.0,1,0.9302326690318973,0.0,0.0,876.4297176079333
60.0,2,0.9302326690318973,0.0,0.0,26.3708940622368
90.0,0,1.395349003547846,0.0,0.0,337871.5478492333
90.0,1,1.395349003547846,4.208333333333333,0.0,643083.1238509375
90.0,2,1.395349003547846,0.0,0.0,61517.83693686246
130.0,0,2.0155041162357774,0.0,0.0,nan
130.0,1,2.0155041162357774,5.604166666666666,0.0,42736.86098815021
130.0,2,2.0155041162357774,1.25,0.0,2004861.442307665
