coeff,seed,alpha_norm,formality,repetition,ppl
-60.0,0,-0.13114754098360656,2.0294648914518314,0.29126370083816894,10.909140628067348
-60.0,1,-0.13114754098360656,2.848055555555556,0.10565149136577706,12.38439366631976
-60.0,2,-0.13114754098360656,2.0419593210418494,0.2872916666666667,13.570852339844002
-40.0,0,-0.08743169398907104,2.8290131040131037,0.07374120696038503,4.832344301150098
-40.0,1,-0.08743169398907104,3.5125685338251342,0.030303030303030304,5.63562690971262
-40.0,2,-0.08743169398907104,3.4239130434782608,0.0675227837613919,6.696827323881816
-25.0,0,-0.0546448087431694,3.4348913098913103,0.03521126760563381,3.7546798731822135
-25.0,1,-0.0546448087431694,3.6025530208095997,0.034769989965845904,3.467051636214149
-25.0,2,-0.0546448087431694,3.8916502203429806,0.020917849898580115,3.6357067990831413
-15.0,0,-0.03278688524590164,4.18912284610814,0.05174963805709171,2.9739657475872594
-15.0,1,-0.03278688524590164,4.245203743638755,0.06627564996209065,2.74005500548303
-15.0,2,-0.03278688524590164,3.845849312398608,0.0673493427304403,2.8351608714946073
-8.0,0,-0.017486338797814208,4.314697993401015,0.028552648686130333,2.4042493409166545
-8.0,1,-0.017486338797814208,4.389760645858207,0.0573406339031339,2.642467484316826
-8.0,2,-0.017486338797814208,4.304345269355126,0.03322380430814165,2.868709364138462
0.0,0,0.0,4.463790119110485,0.05214222052457346,2.3666880061450297
0.0,1,0.0,4.6413949059071005,0.02634019300685969,2.763788798043627
0.0,2,0.0,4.664546861061552,0.037097164196684074,2.7514057635727127
8.0,0,0.017486338797814208,4.865421826625387,0.049000798453986555,2.611414347171009
8.0,1,0.017486338797814208,4.611013246857996,0.05104596663226696,2.747090922630767
8.0,2,0.017486338797814208,5.022979565122068,0.03779014844804321,2.8932835399800583
15.0,0,0.03278688524590164,5.205365725527016,0.017441182217737355,3.2862577721857433
15.0,1,0.03278688524590164,4.89246176926055,0.059251265802824166,2.575938974649002
15.0,2,0.03278688524590164,5.080154616338827,0.04967948717948717,3.1212422000913165
25.0,0,0.0546448087431694,5.0220855130432565,0.032899025856772346,3.6999419686524235
25.0,1,0.0546448087431694,4.987270387270387,0.0476737038596374,3.367368521758481
25.0,2,0.0546448087431694,5.1735063932980605,0.04151875802605026,3.433419919555667
40.0,0,0.08743169398907104,4.952747268693983,0.055600722673893405,4.171198962216225
40.0,1,0.08743169398907104,4.816885512109089,0.03565220922677065,4.545024180935834
40.0,2,0.08743169398907104,4.87526979133482,0.04752730206006453,3.8253436249825836
60.0,0,0.13114754098360656,4.935931080342936,0.03412525300075503,9.12880137447927
60.0,1,0.13114754098360656,4.659969829387706,0.06138532675142255,8.190514454842049
60.0,2,0.13114754098360656,4.841934857475236,0.12211584446161203,8.363468851586052
90.0,0,0.19672131147540983,4.463869522184176,0.36463320754447065,9.928026863783204
90.0,1,0.19672131147540983,4.312997782375293,0.5440925497617045,5.3909691300111255
90.0,2,0.19672131147540983,4.14378730788969,0.3957153231663036,9.033103341999967
130.0,0,0.28415300546448086,3.6684923263184133,0.601420497854825,6.4765827287708815
130.0,1,0.28415300546448086,3.9485694485694487,0.7358649886940537,4.926116928730037
130.0,2,0.28415300546448086,3.9422128851540617,0.6529178432163507,5.899924327246765
