coeff,seed,alpha_norm,formality,repetition,ppl
-8.737501041591292,0,-0.2,3.969541441745389,0.035287447257383975,3.3711039287678783
-8.737501041591292,1,-0.2,3.8778314457028644,0.01844322344322344,3.4683399228365848
-8.737501041591292,2,-0.2,3.874172349432766,0.03557159165035881,3.566449549006437
-5.723063182242297,0,-0.131,4.143205048283665,0.04069661345780751,2.7981287488845106
-5.723063182242297,1,-0.131,3.9147310527944286,0.02970950704225353,2.538066359655874
-5.723063182242297,2,-0.131,4.011453879316427,0.02946775446775446,2.6711178114510457
-3.8008129530922115,0,-0.087,4.1383609321043044,0.03865614672066284,2.4833090834888227
-3.8008129530922115,1,-0.087,4.370111315053441,0.02857882441989229,2.5195296937443072
-3.8008129530922115,2,-0.087,4.162817813815611,0.046973123224201774,2.555054946854671
-2.402812786437605,0,-0.055,4.200036186931348,0.03714843176653393,2.560052990672266
-2.402812786437605,1,-0.055,4.2851472382305005,0.02819327310607095,2.701037142404348
-2.402812786437605,2,-0.055,4.3252413056132335,0.032780031799989034,2.699918160348583
-1.441687671862563,0,-0.033,4.264609326390936,0.03918104921394397,2.684266425335096
-1.441687671862563,1,-0.033,4.256978645311978,0.03119605340771464,2.452770245649933
-1.441687671862563,2,-0.033,4.295344717659508,0.034915831451157536,2.8178315901742996
0.0,0,0.0,4.34060962640821,0.025949594354360977,2.618197881325103
0.0,1,0.0,4.395415810036212,0.03295762456721363,2.607755504197109
0.0,2,0.0,4.338157215571009,0.02329302987197726,2.5385460522311756
1.441687671862563,0,0.033,4.316287767477894,0.03545618789521229,2.7345325312082536
1.441687671862563,1,0.033,4.455592418674289,0.047680695742657375,2.513271037781924
1.441687671862563,2,0.033,4.325367116543587,0.05266977928692701,2.7975454518095955
1.922250229150084,0,0.044,4.32236373686169,0.03395061728395063,2.731294267262234
1.922250229150084,1,0.044,4.298881678809957,0.035570147410367126,2.749086782337862
1.922250229150084,2,0.044,4.209464922332569,0.06579170383586086,2.6892683565806172
2.402812786437605,0,0.055,4.6198771121351765,0.033614186475632246,2.9005400902426164
2.402812786437605,1,0.055,4.503575306260938,0.02412186445205311,2.8657586916484696
2.402812786437605,2,0.055,4.715465323340279,0.02339285714285716,2.8512209559957955
3.8008129530922115,0,0.087,4.687740552891423,0.04475548270838128,2.859254720151625
3.8008129530922115,1,0.087,4.5264440444899074,0.04900043311968774,3.0518003160725
3.8008129530922115,2,0.087,4.517927451635516,0.04584455667789003,2.962010538360604
5.723063182242297,0,0.131,4.361754159495123,0.04219043108432827,2.8104462065824847
5.723063182242297,1,0.131,4.665708879992458,0.03696101684607431,3.033535603874598
5.723063182242297,2,0.131,4.806380982553687,0.054404636327104655,3.52108597723907
8.606438525967423,0,0.197,5.095765763736649,0.041039235026576804,3.448992244177985
8.606438525967423,1,0.197,4.771017198129874,0.04876287026329834,3.152507020145329
8.606438525967423,2,0.197,4.793071621850161,0.04486961451247165,3.467972832988048
12.407251479059633,0,0.284,5.0886800903023754,0.06945635665147862,7.812335838477077
12.407251479059633,1,0.284,5.017742523224979,0.07037956621004568,5.426333219983499
12.407251479059633,2,0.284,5.344675017955534,0.044004231504231495,7.590137199873076
